event_id,matches_count
2124,244
3469,217
3047,201
3964,194
3687,190
5151,185
2638,182
3374,182
3361,182
2369,182
2866,180
2879,179
3048,177
2672,176
3688,174
3965,173
2368,172
2639,169
4243,164
2867,163
3470,155
4736,152
4502,150
3546,150
2880,148
4287,147
4501,144
2673,139
4737,134
5150,131
3375,128
4288,125
3362,120
3049,117
5152,106
4738,104
4509,104
2135,103
4503,103
3753,102
4289,98
3059,90
2494,90
2208,90
4071,90
2495,90
3601,89
2729,89
4072,88
2728,88
3966,88
3492,86
2897,86
3471,86
3602,84
3060,82
3540,70
3157,68
2766,67
3882,61
3134,60
2928,55
3651,55
2232,54
5211,53
3751,53
2674,52
3478,52
3356,51
2152,50
4605,50
2386,48
3480,48
2254,47
4826,47
4388,46
3129,46
3626,46
4513,45
3112,44
4862,44
2564,43
5019,43
2553,43
2830,42
3607,42
4409,42
3486,41
3883,40
3891,40
3666,40
4240,40
3564,40
4760,40
2683,40
2176,40
4443,40
2720,40
3247,40
2471,40
2635,40
2186,39
3599,39
4463,39
2637,38
1968,38
3946,38
2546,38
2557,38
2340,38
2687,37
2430,37
1934,37
4699,36
2188,36
4932,36
4698,36
2843,36
4338,36
3583,35
3072,35
2688,35
4694,35
2956,35
2036,35
2261,35
3988,34
3421,34
3939,34
2699,34
2432,34
4945,34
3354,34
3941,33
3730,33
3255,33
2258,33
4450,33
2533,33
4836,33
2822,33
3885,33
3884,33
2472,33
3694,33
4524,33
4566,33
3333,33
2721,33
4337,33
2329,33
2119,33
4265,32
4423,32
3114,32
2916,32
4484,32
3248,32
3482,32
3212,32
3977,31
4492,31
4780,31
2932,31
4940,31
3122,30
3955,30
2306,30
3002,30
4424,30
4490,29
3530,29
3373,29
2711,29
3309,29
4697,29
4236,29
3732,29
2453,29
2410,29
3937,29
3201,29
3392,29
4291,29
2262,29
4281,29
4553,29
4901,29
3376,29
2977,29
5212,29
4177,29
3311,29
3500,29
3954,29
2702,28
3076,28
2979,28
3056,28
3228,28
2703,28
3196,28
3055,27
2419,27
3494,27
3016,27
2684,27
2407,27
4684,27
2325,27
2062,27
2981,27
2099,27
3720,27
2856,27
4829,27
3623,27
2027,27
3389,27
2675,27
3491,27
4681,27
2541,27
3585,26
3786,26
4622,26
3928,26
4183,26
4283,26
3194,26
3768,26
3014,26
3176,26
2380,26
4567,26
3383,25
4009,25
4314,25
2921,25
2658,25
2059,25
2732,25
2835,25
4172,25
3729,25
2315,25
3631,25
3290,25
3257,25
2943,24
2872,24
4346,24
3733,24
3382,24
4433,24
4160,23
3739,23
2842,23
3893,23
4100,23
5022,23
1970,23
2296,23
2285,22
5178,22
3473,22
2158,22
4998,22
4380,22
3702,22
2100,22
3629,22
3550,22
2255,22
2200,21
4273,21
3323,21
4135,21
3320,21
4778,21
2165,21
5100,21
4619,21
2482,21
4741,21
5030,21
4822,21
5135,20
2753,20
3384,20
2973,20
5109,20
2599,20
2388,20
4046,20
2836,20
4227,20
4614,20
2071,20
2645,20
4613,20
2239,20
3721,20
4125,20
3897,19
4051,19
3121,19
2713,19
3000,19
1937,19
4373,19
3858,19
2420,19
3322,18
4500,18
2252,18
2411,18
2849,18
3552,18
3632,18
4734,18
3219,18
3676,18
5138,18
3444,18
3644,18
5031,17
4292,17
2318,17
3794,17
3695,17
4035,17
4052,17
2280,17
3185,17
4349,17
3892,17
3276,17
5141,16
3697,16
3820,16
4956,16
3647,16
2710,16
2497,16
2912,16
4328,16
2724,16
3960,16
3761,16
3249,16
4702,16
2223,16
3701,16
3929,16
2725,16
2722,16
4931,16
2390,16
3251,16
4731,16
3208,16
4008,16
4327,16
3252,16
2723,16
5142,16
2813,16
2202,16
